,inputs.city,inputs.country,inputs.post_code,inputs.post_code_plus4,inputs.postcode,inputs.safety_flag,inputs.state,inputs.street,attom_expanded_profile_report.row_id,attom_expanded_profile_report.client_id,attom_expanded_profile_report.attom_id,attom_expanded_profile_report.error
0,Fremont,US,68025,4417,68025-4417,False,NE,1924 E 12th St,0,,,
1,Milwaukee,US,53220,2959,53220-2959,False,WI,7120 W Plainfield Ave,1,,189032233,
2,Franklinton,US,70438,,70438,False,LA,51381 Turnage Stateline Road,2,,,
3,Wilson,US,27893,4610,27893-4610,False,NC,1902 Downing St SW,3,,,
4,Taylorsville,US,30178,,30178,False,GA,11 Corson Trail,4,,171081028,
5,West Hills,US,91307,2816,91307-2816,False,CA,6643 Franrivers Ave,5,,53005439,
6,Colorado Springs,US,80922,,80922,False,CO,2619 Farrier Court,6,,253095934,
7,Sacramento,US,95827,2827,95827-2827,False,CA,9820 Winterwood Way,7,,49238560,
8,Fort Washington,US,20744,,20744,False,MD,7200 Jaywick Avenue,8,,186523512,
9,Largo,US,33778,3545,33778-3545,False,FL,10745 119th St,9,,150582302,
10,TAMARAC,US,33321,,33321,False,FL,8713 CYPRESS WALK CT,10,,27430673,
11,Memphis,US,39111,,39111,False,TN,67 S Prescott,11,,,
12,Eldred,US,62027,4440,62027-4440,False,IL,246 S Hillview Eldred Rd,12,,,
13,lynnwood,US,98036,,98036,False,WA,6131 Dale Way,13,,9334469,
14,Belzoni,US,39038,3062,39038-3062,False,MS,214 Beale St,14,,,
15,Florence,US,29501,,29501,False,SC,3318 West Hampton Pointe Drive,15,,36395551,
16,Jeffersonville,US,47130,,47130,False,IN,821 Springdale Dr,16,,218381755,
17,Tampa,US,33625,,33625,False,FL,13346 canopy grove dr,17,,,
18,Sedalia,US,65301,,65301,False,MO,1414 east 7th,18,,,
19,Inkster,US,48141,,48141,False,MI,27331 Kitch,19,,172272670,
20,Hayward,US,94544,5126,94544-5126,False,CA,971 Forselles Way,20,,,
21,Alice,US,78332,5124,78332-5124,False,TX,1700 Carmen St,21,,235675388,
22,Montgomery,US,36116,7273,36116-7273,False,AL,8301 Chadburn Xing,22,,27776789,
23,Hernando,US,38632,,38632,False,MS,601 Belmont Estates Drive,23,,217661015,
24,Mogadore,US,44260,9413,44260-9413,False,OH,3011 Randolph Rd,24,,14936049,
