street,state,city,postcode,safety_flag
3160 Otto Dr,FL,Lakeland,33812-5237,FALSE
940 Tulip Dr,IN,Indianapolis,46227,FALSE
68 Rocky Top Rd,VA,Troutville,24175-6054,FALSE
3330 Taylor Blair Rd,OH,West Jefferson,43162,FALSE
4254 Eagle Landing Parkway,FL,Orange Park,32065,FALSE
140 commonwealth avenue,MA,Chestnut Hill,2467,FALSE
1644 pebble creek drive,MN,sartell,56377,FALSE
29004 112th Pl,WI,Trevor,53179,FALSE
3649 North Olivers Cross Road,NC,Newton,28658,FALSE
3031 S Cherokee St,CO,Englewood,80110,FALSE
2385 Burgundy Way,CA,Fairfield,94533-6834,FALSE
5956 Sunny Ln,MN,Duluth,55811-9729,FALSE
9725 64th Ave,NY,Rego Park,11374-2213,FALSE
16 Belknap St,NH,Laconia,03246-2701,FALSE
8215 SW 72nd Ave,FL,Miami,33143-7790,FALSE
27475 Ynez Rd Ste 726,CA,Temecula,92591-4633,FALSE
2633 Walden Ct,FL,Kissimmee,34743-6038,FALSE
322 Westgrove Ct,NC,Durham,27703-8957,FALSE
70 Fountainhead Ct,CA,Martinez,94553-4964,FALSE
3418 Woodruff Ave,CA,Long Beach,90808-2735,FALSE
355 NE 30th Ave,FL,Homestead,33033-7089,FALSE
8098 Carnation Dr,CA,Buena Park,90620-2111,FALSE
9 Ferris Ave,CT,Norwalk,06854-1548,FALSE
14472 Rath St,CA,La Puente,91744-1743,FALSE
507 Benforest Dr,MD,Severna Park,21146-1731,FALSE
10066 Ohio 48,OH,Loveland,45140,FALSE
254 Winding Hill Dr,NJ,Hackettstown,07840-5698,FALSE
120 East Main Street,KY,Lexington,40507,FALSE
12357 Doran Pl,CA,North Hollywood,91605-3018,FALSE
19230 Forest Park Dr NE Apt H126,WA,Lake Forest Park,98155-2467,FALSE
1005 S 10th St,IA,Burlington,52601-5913,FALSE
114 Private Road 2482,OH,South Point,45680,FALSE
933 28th St,WI,Chetek,54728,FALSE
6951 Aruba Ln,CO,FORT COLLINS,80525,FALSE
375 E Ramona Expressway,CA,Perris,92571,FALSE
3723 Pacific Breeze Circle,FL,Fort Lauderdale,33309,TRUE
5000 Woodland Dr,LA,New Orleans,70131,FALSE
1939 109th ave,CA,oakland,94603,FALSE
2481 Bell Ridge Dr,FL,Crestview,32536,FALSE
170 north 5th st,NY,brooklyn,11211,FALSE
1670 Granville Court,GA,Lawrenceville,30043,FALSE
993 Dassow Ct,GA,Alpharetta,30009,FALSE
1718 Beloit Dr,IL,Naperville,60565-6739,FALSE
58 Grand Canyon Cir,CA,Oakley,94561-5229,FALSE
43 Blister St,MD,Middle River,21220-4604,FALSE
22219 Jewell Dr,VA,Bristol,24202-2773,FALSE
30 Liberty Sq,CT,Bloomfield,6002,FALSE
3711 Bright Moon Ct,TX,Katy,77449-2145,FALSE
1017 Worden Road,OH,Wickliffe,44092,FALSE
1231 Maple Leaf Ct,OH,Sidney,45365-3465,FALSE
2703 Clarence Ave,IL,Berwyn,60402-2779,FALSE
11822 Varnell St,TX,Houston,77039-6135,FALSE
268 Ocean Cay Boulevard,FL,St. Augustine,32080,FALSE
4950 S King Dr Apt 3E,IL,Chicago,60615-2374,FALSE
849 sequoia ave,CA,Sanger,93657,TRUE
25982 W Potter Dr,AZ,Buckeye,85396-7241,FALSE
4627 1st Avenue SW,IA,Cedar Rapids,52405,FALSE
4948 olive street,CA,Montclair,91763,FALSE
323 Peck Road,NY,Wynantskill,12198,FALSE
