,inputs.city,inputs.country,inputs.post_code,inputs.post_code_plus4,inputs.postcode,inputs.safety_flag,inputs.state,inputs.street,attom_expanded_profile_report.row_id,attom_expanded_profile_report.client_id,attom_expanded_profile_report.attom_id,attom_expanded_profile_report.error
0,Fremont,US,68025,4417,68025-4417,False,NE,1924 E 12th St,0,,,
1,Milwaukee,US,53220,2959,53220-2959,False,WI,7120 W Plainfield Ave,1,,189032233,
2,Franklinton,US,70438,,70438,False,LA,51381 Turnage Stateline Road,2,,,
3,Wilson,US,27893,4610,27893-4610,False,NC,1902 Downing St SW,3,,,
4,Taylorsville,US,30178,,30178,False,GA,11 Corson Trail,4,,171081028,
5,West Hills,US,91307,2816,91307-2816,False,CA,6643 Franrivers Ave,5,,53005439,
6,Colorado Springs,US,80922,,80922,False,CO,2619 Farrier Court,6,,253095934,
7,Sacramento,US,95827,2827,95827-2827,False,CA,9820 Winterwood Way,7,,49238560,
8,Fort Washington,US,20744,,20744,False,MD,7200 Jaywick Avenue,8,,186523512,
9,Largo,US,33778,3545,33778-3545,False,FL,10745 119th St,9,,150582302,
10,TAMARAC,US,33321,,33321,False,FL,8713 CYPRESS WALK CT,10,,27430673,
11,Memphis,US,39111,,39111,False,TN,67 S Prescott,11,,,
12,Eldred,US,62027,4440,62027-4440,False,IL,246 S Hillview Eldred Rd,12,,,
13,lynnwood,US,98036,,98036,False,WA,6131 Dale Way,13,,9334469,
14,Belzoni,US,39038,3062,39038-3062,False,MS,214 Beale St,14,,,
15,Florence,US,29501,,29501,False,SC,3318 West Hampton Pointe Drive,15,,36395551,
16,Jeffersonville,US,47130,,47130,False,IN,821 Springdale Dr,16,,218381755,
17,Tampa,US,33625,,33625,False,FL,13346 canopy grove dr,17,,,
18,Sedalia,US,65301,,65301,False,MO,1414 east 7th,18,,,
19,Inkster,US,48141,,48141,False,MI,27331 Kitch,19,,172272670,
20,Hayward,US,94544,5126,94544-5126,False,CA,971 Forselles Way,20,,,
21,Alice,US,78332,5124,78332-5124,False,TX,1700 Carmen St,21,,235675388,
22,Montgomery,US,36116,7273,36116-7273,False,AL,8301 Chadburn Xing,22,,27776789,
23,Hernando,US,38632,,38632,False,MS,601 Belmont Estates Drive,23,,217661015,
24,Mogadore,US,44260,9413,44260-9413,False,OH,3011 Randolph Rd,24,,14936049,
25,Allison Park,US,15101,,15101,False,PA,1215 Zeno Lane,25,,147841752,
26,Casa Grande,US,85122,1006,85122-1006,False,AZ,1202 E Avenida Grande,26,,41030594,
27,Ruskin,US,33570,5108,33570-5108,False,FL,939 Meadow Glade Dr,27,,250759326,
28,Tigard,US,97223,,97223,False,OR,11165 Southwest 109th Avenue,28,,47013122,
29,Denver,US,80210,,80210,False,CO,2128 South Humboldt Street,29,,51282208,
30,Beaumont,US,77703,,77703,True,TX,1125 Wiess St,30,,167682485,
31,zebulon,US,27597,,27597,False,NC,2924 Greenridge View Lane,31,,42572944,
32,Lafayette,US,70508,7157,70508-7157,False,LA,215 Edinburgh Dr,32,,218213063,
33,Brooklyn,US,11201,4118,11201-4118,False,NY,11 Montague Ter,33,,168049533,
34,Midlothian,US,23114,,23114,False,VA,1042 Alcorn Terrace,34,,199144313,
35,Auburn,US,36830,2575,36830-2575,False,AL,1744 Piedmont Dr,35,,29141509,
36,Benton,US,71006,8604,71006-8604,False,LA,2004 Old Plain Dealing Rd,36,,210366244,
37,Westlake,US,70669,4814,70669-4814,False,LA,414 E Krause St,37,,189655529,
38,Holiday,US,34690,6439,34690-6439,False,FL,5750 Melaleuca Dr,38,,163489045,
39,Winneconne,US,54986,9338,54986-9338,False,WI,11 N 3rd Ave,39,,193253751,
40,Brownwood,US,76801,,76801,False,TX,1504 Southgate Drive,40,,253523072,
41,Overland Park,US,66210,,66210,False,KS,11200 Benson Street,41,,21234739,
42,roswell,US,30076,,30076,False,GA,1010 harbor landing,42,,,
43,Monsey,US,10952,,10952,False,NY,31 Astor Place,43,,169080341,
44,Angel Fire,US,87710,,87710,False,NM,64 Mammoth Mountain Rd,44,,239051315,
45,Springfield,US,97478,,97478,False,OR,5743 Mt Vernon rd,45,,28900595,
46,Somers,US,6071,1033,06071-1033,False,CT,19 White Birch Cir,46,,203306954,
47,Franklin Square,US,11010,3807,11010-3807,False,NY,138 Lincoln Rd,47,,170519723,
48,Springfield,US,1151,,1151,False,MA,409 Goodwin Street,48,,,
49,Wichita,US,67209,,67209,False,KS,10625 W Maple St Unit A1,49,,239328252,
50,Leoti,US,67861,,67861,False,KS,346 E Hwy 96,50,,,
51,Sharpsville,US,16150,1438,16150-1438,False,PA,447 Georgetown St,51,,,
52,LIBERTY,US,64068,,64068,False,MO,310 N WITHERS RD,52,,,
53,Mineral Wells,US,76067,,76067,False,TX,24 Cliff Drive,53,,141170254,
54,Atlanta,US,30317,,30317,False,GA,1000 Gilbert st,54,,54273885,
55,Federal Way,US,98023,4527,98023-4527,False,WA,708 SW 312th St,55,,10508721,
56,Naperville,US,60565,1558,60565-1558,False,IL,516 E Bailey Rd,56,,11432579,
57,Eads,US,38028,,38028,False,TN,285 woodsedge dr,57,,28975072,
